number,name,description
OSPFLOR 87:,What is Love? The Amorous Discourse from Dante to Ferrante,"Talking about love was the main reason humans ever began to speak in the first place. From the moment words were invented, they have been used to interpret and describe, in verse and prose, this powerful and mysterious force, in an attempt to interpret and describe our very selves. Lyric poetry was specifically designed for that, but even when telling stories about war, adventure, or the meaning of life and death, as well as when narrating comic or tragic events, countless writers have often endeavored to answer the question: What is love? By combining close readings of texts with a study of their literary, cultural, and historical context, and by paying attention to individual innovations as well as one's dialogue with tradition (a gendered tradition, that nonetheless stimulates fluid and even queer responses from the Renaissance forward), we will discover Dante's love, a means of damnation or salvation; Petrarch's love, which is sinful distraction, the source of poetry, and a path to more »"
OSPFLOR 96:,Leonardo!,"In this 500th anniversary year of the death of Leonardo this class will be an immersive and interactive experience with this most remarkable and complex artist and thinker. Focus on Leonardo's insights into human perception, tapping the very sounds and sights of the city that drove his fascination and inspired his work. Leonardo's conviction that the soul was the point of convergence of all the senses, prompted him to ponder how sensory information is received and processed. His writings foreshadow gestalt psychology and psychoacoustics centuries before these were studied by scientists. Leonardo's fascination with perception and emotion are manifest in his art and in his inventions. Together we will explore the city that inspired da Vinci's work, and delve into the deep implications of some of his insights and inventions as they effect contemporary art, science and life."
OSPFLOR 106V:,"Policing, Punishment and Democracy: Beccaria and the Modern Politics of Crime","This course will ask how police, prosecutors, and prisons should operate in an open, democratic society, and what opportunities and challenges democracy creates for making those institutions fair, effective, and humane. Our entry point will be Cesare Beccaria's 1764 treatise, Of Crimes and Punishments, which linked criminal justice reform with the struggle against despotism. Beccaria was a key figure in the Italian Enlightenment, and his treatise laid the foundation for virtually all subsequent efforts at criminal justice reform, in the United States as well as in Europe. Beccaria's ideas heavily influenced the American Revolutionaries, found expression in the Bill of Rights, and continue to shape discussions of policing and punishment today. We will read Beccaria's treatise, as well as secondary materials placing him in historical context and tracing his influence on the reform of criminal justice institutions in Europe, the United Kingdom, and the United States. We will also examine more »"
OSPGEN 48:,Jordanian Futurities between Ancient Antiquities and Performances of Urban Life,"Present-day Hashemite Kingdom of Jordan is the site of remarkable civilizations of Antiquity. In Jordan, the Eastern civilizations of Ammon, Moab, Canaan, Assyria, and Babylon thrived as did the Romans and the Persians. Today, the most visible of Jordan's ancient world are the Roman, Nabatean, and Islamic civilizations. The proposed course takes cultural artifacts as the foundational blocks of the Levant, asking a fundamental question about how a contemporary state exists on top and beside the ancient past, by exploring three cities: Petra, Jerash, and Amman. All three cities have large Amphitheatres that suggest a particular pattern of growth over time, and play a major role in how these cities function today as tourist attractions and geography for performances of everyday life. In these three case studies, students will investigate how theatre and performance, along with culture in its broadest definition, have shaped the destiny of the Levant historically and the present-day Hashem more »"
OSPHONGK 23:,China Under Mao,"Exploration of the history of Mao Zedong¿s years in power in the founding period of the People¿s Republic of China. Historical processes contributing to this era of turbulent elite politics, chaotic and often horrifically violent revolutionary political campaigns, and unprecedentedly vast state-directed restructuring of the economy, culture, and nearly all aspects of society and culture has been joined by an interest in the related human and natural costs, the lived experiences, and the diverse forms in which local societies at the grassroots so distant from party leaders adapted their own variations of life under Chinese socialism."
OSPHONGK 32:,Fintech and Entrepreneurship in China,"Introduction to the concepts essential to the entrepreneurial process and a look at the role of the individual and teams within high-impact ventures, intended for sophomores, juniors, and seniors of all majors. Case studies, lectures, workshops and mentor-guided team projects cover high-growth ventures involving technology, with special emphasis on the significance of entrepreneurship, blockchain/AI/ML related to financial innovation and opportunities in Hong Kong and China more broadly. Explore both financial innovation for high net worth as well as ""bottom of the pyramid"" individuals and ethical issues in startups. No prerequisites."
OSPMADRD 14:,Introduction to Spanish Culture,"Required for all Madrid students. Lectures and activities covering a wide selection of culturally and academically significant topics to understand Spain, as well as its international context. Requirements include orientation, study trip, and language pledge compliance."
OSPMADRD 45:,Women in Art: Case Study in the Madrid Museums,"Viewing the collections at the Prado Museum through study and analysis of the representations of women. Contemporary literary texts and images that situate paintings in the historical, social, and political conditions that produced the works."
OSPMADRD 70:,Computational Biology: Structure of Biomolecules,"All life depends on molecular machines, such as proteins, which carry out a huge variety of tasks within the cell. Much like the larger machines we encounter in our day-to-day lives, these miniature machines work because each has a three-dimensional structure and moving parts specialized to its particular function. Computation plays an increasingly crucial role in revealing the structures and motions of biomolecules, and in using that information to discover drugs, improve medical treatment, and engineer new biomolecules for use in food and energy production. Important computational approaches in this field range from physical simulation to machine learning. This course offers a gentle introduction to these computational methods and their practical applications."
OSPMADRD 92:,Clinical Internship,"In this academic internship, pre-med students shadow a doctor in a leading private hospital network. All medical and surgical specialties are available. In addition to the 50 practicum hours, students will have 5 different thematic sessions with a local physician and faculty member to reflect and build upon their experiences. Students enrolled in the Madrid Program will receive an email from the Director with information about this clinical internship opportunity, including the application process."
OSPMADRD 93:,New Worlds and Old: The biogeography of the Age of Discovery as the foundation for later insights in,"Biogeography, the study of the distribution of life in time and space, was a crucial foundation for the recognition of the evolutionary processes at work in our world. Quite simply, Darwin and Wallace needed the access to the tropics that opened up with the Age of Discovery in order to recognize the mechanisms of evolution. Class sessions will alternate between discussions and lectures. However, rather than modern primary literature or textbooks, the readings will come from three classic texts: Charles Darwin's Voyage of the Beagle (1839), Henry Walter Bates' The Naturalist on the River Amazons (1863), and Alfred Russel Wallace's Malay Archipelago (1869). These three books cover much of the geography of the Iberian colonies founded in the Age of Discovery: respectively, Spanish South America and the Portuguese Amazon and Southeast Asia. No matter what ""mid-19th century popular science/travelogue"" might suggest, these books are highly readable and show how insights sprang from individua more »"
OSPOXFRD 62:,Digital Technology in the UK (Technical Version),"Includes all of the sessions and requirements of the seminar Digital Technology in the UK, with an additional hour per week of meeting time focused on more technical readings from British computing pioneers. Please note that students can take this seminar or OSPOXFRD 63, but not both"
OSPOXFRD 117W:,Gender and Social Change in Modern Britain,"Changes in the social institutions, attitudes, and values in Britain over the past 20 years with specific reference to shifts in gender relations. Demographic, economic and social factors; review of theoretical ideas. Men's and women's shifting roles in a fast-moving society."
OSPPARIS 1A:,"Accelerated First-Year French, Part 1","Completes first-year language sequence in two rather than three quarters. All-in-French communicative and interactive approach. Emphasis on the development of French in a contemporary cultural context. Interpretation of diversified materials, written and oral presentations."
OSPPARIS 2A:,"Accelerated First-Year French, Part 2","Continuation of FRENLANG 1A. Completes first-year language sequence in two rather than three quarters. All-in-French communicative and interactive approach. Emphasis is on the development of French in a contemporary cultural context. Interpretation of diversified materials, written and oral presentations. Prerequisite: French 1A"
OSPPARIS 20:,A Journey Through Medieval Paris,"From economic expansion in 11th century Paris and flourishing of Gothic religious architecture in the 12th century, to the establishment of Europe's principal university in Paris, making it the academic center of the region in the 13th century. Through onsite sessions, discover how Paris became a true capital in all meanings of the term, and explore the historical reasons for this phenomenal growth and expansion."
OSPPARIS 40:,Studio Art: General,"The studio art class are offered by a reputed preparatory arts practice school in Paris, the ""Ecole d'Arts Plastiques"" (EAP). Classes include perspective, sculpture, computer art, art history, among others. ). The classes are year-long, but given the individual attention offered to Stanford participants by the instructors, our students can begin the classes in the middle of the year. All the studio art classes are primarily intended for students with good language skills who are majoring or minoring in Art, Art History, Product Design, Architecture or STS. These students have priority for attending the class. Auditors are not accepted. Stanford students enrolled at the EAP will be encouraged to participate in collaborative projects with their French counterparts. For more specifics about the school and its program, see http://eapseine.fr (in French)."
OSPPARIS 42:,Studio Art: Drawing with Live Model,"This course will allow the students to acquire a solid foundation in drawing and to grasp concepts of proportions, composition and analysis through observation. Students develop perception of space, movement and forms. The techniques used include among others: graphite, charcoal, chalk, pastel, watercolor, monotype, markers. It is offered by a reputed preparatory arts practice school in Paris, the ""Ecole d'Arts Plastiques"" (EAP). The course is year-long, but given the individual attention offered to Stanford participants by the instructor, our students can begin the classes in the middle of the year. All the studio art classes are primarily intended for students with good language skills who are majoring or minoring in Art, Art History, Product Design, Architecture or STS. These students have priority for attending the class. Auditors are not accepted. Stanford students enrolled at the EAP will be encouraged to participate in collaborative projects with their French counterparts. For more specifics about the school and its program, see http://eapseine.fr (in French)."
OSPPARIS 43:,Studio Art: Painting,"This course covers different painting techniques for pictorial representation through various themes and enables students to develop their creativity. The work of each student is evaluated on a case-by-case basis, and the class structure can be more open or more directed based on their needs. It is offered by a reputed preparatory arts practice school in Paris, the ""Ecole d'Arts Plastiques"" (EAP). The course is year-long, but given the individual attention offered to Stanford participants by the instructor, our students can begin the classes in the middle of the year. All the studio art classes are primarily intended for students with good language skills who are majoring or minoring in Art, Art History, Product Design, Architecture or STS. These students have priority for attending the class. Auditors are not accepted. Stanford students enrolled at the EAP will be encouraged to participate in collaborative projects with their French counterparts. For more specifics about the school and its program, see http://eapseine.fr (in French)."
OSPPARIS 44:,Studio Art: Analytical Drawing,"This drawing course focuses on observation of a model to be copied. It encourages students to analyze one aspect of a general structure, while using various materials and techniques in a limited amount of time. It is offered by a reputed preparatory arts practice school in Paris, the ""Ecole d'Arts Plastiques"" (EAP). The course is year-long, but given the individual attention offered to Stanford participants by the instructor, our students can begin the classes in the middle of the year. All the studio art classes are primarily intended for students with good language skills who are majoring or minoring in Art, Art History, Product Design, Architecture or STS. These students have priority for attending the class. Auditors are not accepted. Stanford students enrolled at the EAP will be encouraged to participate in collaborative projects with their French counterparts. For more specifics about the school and its program, see http://eapseine.fr (in French)."
OSPPARIS 61:,The Science of MythBusters,"How do scientists actually go about answering practical questions? How does science function as a way of understanding our world, and - importantly - how does it differ from other approaches? As its point of departure, this course will examine and critique selected episodes of the television series, MythBusters (Discovery Channel), which tests the validity of many popular beliefs in a variety of imaginative ways, including myths, rumors, traditions, and stories. We will take the opportunity to delve more deeply into the applicability of the scientific method in understanding a vast range of real-world problems, and into the practical acquisition of fact-based knowledge, which together form the cornerstone of all science. The intellectual framework of this course will be based, first and foremost, on skeptical inquiry, combined with the other key ingredients of good science, which include: framing the question well, careful experimental design, meticulous observation and measurement, qu more »"
OSPPARIS 63:,"Places, Images and Sounds of the French at War (18th through 21st centuries)","How have wars shaped the French Society? How have French men and women gone through these traumatic times, since the French Revolution until today? Beyond addressing a history of Wars per se, explore what French society represents within this context. What was the relationship between the ""Citoyen-soldat"" and ""The Other"": Women, the Colonized, the Enemy? Through this three-centuries panorama of French conflicts, gain a knowledge of both French society and the various methods and approaches to better understand the phenomenon of war, in all its universal complexity. In French."
OSPPARIS 78B:,Independent Study Topics in Literary (Creative) Writing,"Spirit of Place in Short Fiction/ Spirit of Place in Memoir. Students are invited to work with the professor developing such skills as characterization, plot, dialogue, figurative language, structure and pacing. All narratives will, of course, explore place (Paris and other parts of France) in new and interesting ways."
OSPSANTG 14:,Women Writers of Latin America in the 20th Century,"Key figures in poetry, narrative fiction, theater, and testimonio, such as Mistral, Garro, Lispector, Poniatowska, Valenzuela, Eltit and Menchú. Close reading technique. Issues raised in literary texts that reflect the evolution of the condition of women in Latin America during the period. Topics include gender differences and relationships, tradition versus transgression, relationship between changes in the status of women and other egalitarian transformations, and women writers and the configuration of literary canons."
OTOHNS 307A:,Otolaryngology/Head and Neck Surgery Clerkship,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Selective 1. DESCRIPTION: Provides students with a clinical experience in the field of otolaryngology and head and neck surgery. Students are exposed to the techniques of examination of the ear, nose, nasopharynx, mouth, larynx, and neck. They will have clinical experiences with the hearing and vestibular system, maxillofacial trauma, facial cosmetics, pediatric otolaryngology, head and neck cancer, skull base surgery, sleep surgery, voice disorders, as well as the more routine problems of otitis media, head and neck infections, chronic sinusitis, and the like. As with most surgical services, emphasis is placed on the surgical experience; in addition, students will have ample exposure to the outpatient clinic and will be expected to actively participate in pre- and postoperative patient care including ward rounds. Interested students are encouraged to assist in the operating room and take an active role in selected surgical procedures if t more »"
OTOHNS 336A:,Subinternship in Otolaryngology/Head and Neck Surgery,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Selective 2. DESCRIPTION: This is an advanced clerkship designed to give the senior medical student an intense exposure to the field of Otolaryngology-Head and Neck Surgery. Students will be expected to accomplish the following goals: (1) assume a high level of patient care responsibility, functioning essentially at an intern level (but with supervision from the residents and faculty); (2) strengthen their clinical and procedural skills and; (3) function as an integral member of the otolaryngology team. Students will be expected to round on all of the patients on the service to which they are assigned. While on the head & neck service, they will be permitted to perform selected simple procedures. Other rotations may include: laryngology, rhinology, sleep surgery, facial plastics, otology & neurotology, pediatric, and comprehensive otolaryngology. Students will be expected to participate in all clinics and ORs on the services in which they more »"
OTOHNS 802:,Terminal Graduate Student (TGR) Research,"Doctoral students who have been admitted to candidacy, completed all required courses and degree requirements other than the University oral exam and dissertation, completed 135 units or 10.5 quarters of residency (if under the old residency policy), and submitted a Doctoral Dissertation Reading Committee form, may request Terminal Graduate Registration (TGR) status after admission to candidacy, completion of all require courses, and completion of 90 units or six quarters of residency (if under the old residency policy). Students enrolled in master's programs with a required project or thesis may apply for TGR status upon completion of all required courses and completion of 45 units. Students with more than one active graduate degree program must complete residency units between all active/completed degree programs in order to apply for TGR status."
OUTDOOR 9:,"Travel as a Sacred Journey Towards Presence, Practice, and Purpose","Engage travel and pilgrimage as intentional contemplative practice for exploring one's life purpose. Experientially investigate, both individually and collectively, outer journeying as a support for inner reflection on meaning making and values creation. While immersed in environments ranging from nature settings to retreat communities learn about, contemplate, and practice a range of methods, informed by multiple spiritual and philosophical traditions, meant to enhance insight and human flourishing. All backgrounds and identities welcome."
PAS 303:,Family Medicine/ Primary Care Medicine I,"During the outpatient medicine rotation students will be involved in the initial and ongoing assessment of patients in all age groups. In addition to routine health maintenance, students will become familiar with common primary care and urgent care problems. Students will be responsible for taking medical histories, performing physical examinations, ordering appropriate diagnostic testing, interpreting results and forming a plan. The student will provide an accurate, pertinent and time-effective verbal presentation to the rotation preceptor and will write an accurate note suitable for inclusion in the patient's medical record. Patient education, counseling, and coordination of additional resources for patient care will also be included. The outpatient medicine rotations may take place in private offices, family practices, urgent care clinics, hospitals, or other ambulatory care clinics."
PAS 304:,Family Medicine/ Primary Care Medicine II,"During the outpatient medicine rotation students will be involved in the initial and ongoing assessment of patients in all age groups. In addition to routine health maintenance, students will become familiar with common primary care and urgent care problems. Students will be responsible for taking medical histories, performing physical examinations, ordering appropriate diagnostic testing, interpreting results and forming a plan. The student will provide an accurate, pertinent and time-effective verbal presentation to the rotation preceptor and will write an accurate note suitable for inclusion in the patient's medical record. Patient education, counseling, and coordination of additional resources for patient care will also be included. The outpatient medicine rotations may take place in private offices, family practices, urgent care clinics, hospitals, or other ambulatory care clinics."
PATH 51:,Human Anatomy (Online),"This online, self-paced course covers the basic anatomy of the human body. Through the use of pre-recorded lecture videos and 3D models, students will learn the anatomic terminology, structure, and function of the musculoskeletal, cardiopulmonary, gastrointestinal, genitourinary, nervous, endocrine, and immune systems. This course includes all content from the four separate 1-unit Regional Anatomy (Online) courses PATH 51A, 51B, 51C, and 51D."
PEDS 211:,Medical-Legal Issues in Children's Health,"(Same as LAW 643) Explores the link between poverty and children's health and how the medical and legal fields can work together to improve health outcomes for low income children. Weekly class meetings covering medical legal issues such as asthma immigration, health insurance; intake interviews with patient families and analysis of their medical legal issues; group project focused on a medical legal policy issue; final paper cowritten by law and medical students. May be taken for 2 units (weekly 2.5 hour seminar meetings only), 3 units (participation in either intake interviews or policy work) or 4 units (full participation in all course components). Prerequisite: instructor consent. Preference to students committed to full participation."
PEDS 240:,"(Re)Meditating Systems Change: Disability, Language & Difference (CSRE 340, EDUC 440)","This is a course about gaining a deep understanding of the levers of systems change in K-12 education focusing especially on (re)mediating systems in ways that center inclusion, equity, and justice. This course is concerned with systems change processes: why we need them; what they look like; and what theories can be called upon to guide them. We will examine the role of educational reform processes. We will examine various conceptions how reform efforts bear on systems change efforts at all levels of education: the classroom, the school, the district, and the state and federal levels of educational policy. In this course, we will examine contemporary theories of educational systems change that pay close attention to Disability, Language, and Difference. We will consider some examples of how these change processes interact to improve academic and social outcomes for all students, especially those who have been historically marginalized. We will consider urban, suburban, and rural appli more »"
PEDS 257:,Clinical Teaching Seminar Series,"The Clinical Teaching Seminar Series (CTSS) is a year-long program in medical education, designed to introduce clinical educators to fundamental concepts in education. The seminars are high-yield, relevant, and interactive, providing practical tips for bedside teaching, curriculum development, and education research. The HONORS CERTIFICATE PROGRAM IN MEDICAL EDUCATION is meant to recognize participants with a dedication to medical education, who regularly attend the seminars and complete a scholarly project. The Honors Program is a multi-disciplinary program open to all medical students, residents, fellows, staff, and faculty with an interest in medical education."
PEDS 300A:,Pediatrics Core Clerkship,"VISITING: Closed to visitors. TYPE OF CLERKSHIP: Required. DESCRIPTION: Pediatrics 300A is an eight-week core clerkship. Students spend four weeks on an inpatient service and four weeks in a variety of ambulatory settings. The clerkship provides an introduction to a wide range of clinical problems and equips students with the basic skills needed to work with children and families. The overarching goal of the clerkship is to enable students to bring the core values and principles of pediatrics to the care of all patients, across disciplines. PREREQUISITES: None. PERIODS AVAILABLE: 1-12, full-time for 8 weeks, 16 students per period. CLERKSHIP DIRECTOR: Elizabeth Stuart, M.D.; Associate Director: Kevin Chi, M.D. CLERKSHIP COORDINATOR: Julia Arndt, jarndt@stanford.edu. REPORTING INSTRUCTIONS: Where: will be sent prior to start of clerkship; Time: TBA. CALL CODE: 2 - one weekend day. OTHER FACULTY: Staff. LOCATION: LPCH, SCVMC, KPMC."
PEDS 301A:,Medical Genetics Clerkship,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: The clerkship provides a comprehensive introduction to the field of clinical genetics. Students have the opportunity to learn about a range of genetic disorders, genetic diagnostics methodologies and genetic counseling by participating in the evaluation of children and adults in the General Genetics Clinic, Metabolic Genetics Clinic, Down Syndrome clinic and Cleft & Craniofacial Center. Students are also encouraged to participate in the activities of the inpatient consult service. By special arrangement students may also observe in the Neurogenetics Clinic, Neurometabolic Clinic, Adult Cancer Genetic Risk-Assessment Clinic, Connective Tissue Disorder clinic, Differences of Sexual Development, or the Prenatal Genetic Counseling. For students with a particular interest in diagnostics and/or molecular pathology, additional time in biochemical genetics, cytogenetics and/or molecular genetics laboratories may be arranged. more »"
PEDS 303A:,Pediatric Cardiology Clerkship,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: The Pediatric Cardiology Clerkship provides students with a hemodynamic and developmental approach to the cardiovascular problems of childhood. Students actively participate in all pediatric cardiology activities in the clinic, the wards, and the ICUs of the Lucile Packard Children's Hospital. The program emphasizes history-taking, physical examination, and interpretation of electrocardiograms and X-rays. Rotations include exposure to echocardiography, cardiac catheterization, and electrophysiologic studies. Students will learn principles of medical and surgical therapy, and will have the opportunity to spend time in the operating room with the cardiology team. Prospective applicants should visit http://med.stanford.edu/clerkships/apply.html to begin the application process. PREREQUISITES: Pediatrics 300A. Visiting students must have completed a General Pediatrics clerkship equivalent to Pediatrics 300A, and a Gener more »"
PEDS 304A:,Pediatric Endocrinology and Diabetes Clerkship,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: Provides an in-depth exposure to the endocrine disorders and diabetes in children. The clinical experience is primarily in the pediatric endocrine and diabetes clinics at the Lucile Packard Children's Hospital and satellite clinics in Sunnyvale and Los Gatos under the direct guidance of the faculty. An active conference schedule and supervised reading program ensure exposure to all areas of endocrinology. Students are encouraged to explore a special interest within the field of endocrinology and deliver a brief presentation on the topic. Students who wish to do this clerkship MUST get pre-approval from clerkship director. PREREQUISITES: Pediatrics 300A. PERIODS AVAILABLE: 1-12, full-time for 4 weeks. 1 student per period except with permission of the course director. CLERKSHIP DIRECTOR: Laura Bachrach, M.D., lkbach@stanford.edu, 650-723-5791. CLERKSHIP COORDINATOR: Kim Vo, 650-736-2005, ktvo@stanford.edu. REPORTING INSTRUCTIONS: Where: G331; Time: 9:00 am. CALL CODE: 0. OTHER FACULTY: A. Addala, T. Aye, L. Bachrach, B. Buckingham, C. Buckway, M. Grover, R. Lal, D. Maahs, P. Prahalad, H. Seeley, S. Shah, D. Stafford, D. Wilson. LOCATION: LPCH."
PEDS 308A:,"Pediatric Gastroenterology, Hepatology and Nutrition Clerkship","VISITING: Open to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: Provides visitors with inpatient, procedural, and extensive outpatient experience in the management of various acute and chronic diseases of the intestinal tract or liver including the importance of nutritional intervention. The Pediatric GI Service works closely with many other specialties including Pediatric Radiology, Pediatric Surgery, General Pediatrics and Hospitalists, Nutritionists, Social Workers and Pharmacists. Daily inpatient rounds take place with the attending, fellow, and pediatric housestaff. Clinical didactics and conferences are held weekly including monthly joint conferences between various services: Pediatric GI, Pediatric Surgery, Pediatric Radiology and Pathology. There are opportunities to observe various procedures including endoscopy, advanced and complex GI procedures, and motility studies. Clinics are held ten half-days per week. Students evaluate patients in clinic where they will spend th more »"
PEDS 312A:,Pediatric Infectious Diseases Clerkship,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: Students gain clinical experience working with patients with infectious diseases, including newborns, children, adolescents, and pediatric patients with underlying malignancies, immunological deficiencies, organ transplants, chronic illness and orthopedic problems. Clinical rounds are held daily and outpatient clinic is held once a week. General principles applicable to the management of infections in all age groups are emphasized, as well as basic ID-specific laboratory results such as cultures, antibiotics, susceptibility data and diagnostic studies. In addition, students participate in a variety of weekly didactic sessions, clinical conferences and laboratory rounds. Students also should attend the Pediatric Residency Program's Morning Report, Noon Didactics and Grand Rounds as the schedule allows. Opportunities exist to explore interests in antimicrobial stewardship, infection control and prevention, as well as o more »"
PHIL 1X:,"Philosophy Bootcamp: Truth, Reality, and Knowledge",What is truth? What is reality? Is science the only way to know about reality? Does philosophy provide an alternative? What are facts? Is it all relative? No prior exposure to philosophy needed. Intensive introduction to relevant contemporary theories and techniques in philosophy.
PHIL 2:,Introduction to Moral Philosophy (ETHICSOC 20),"What should I do with my life? What kind of person should I be? How should we treat others? What makes actions right or wrong? What is good and what is bad? What should we value? How should we organize society? Is there any reason to be moral? Is morality relative or subjective? How, if at all, can such questions be answered? Intensive introduction to theories and techniques in contemporary moral philosophy."
PHIL 13:,"Humanities Core: Great Books, Big Ideas -- Europe, Modern (FRENCH 13, HISTORY 239C, HUMCORE 13)","What is a good life? How should society be organized? Who belongs? How should honor, love, sin, and similar abstractions govern our actions? What duty do we owe to the past and future? This course examines tcourse examines these questions in the modern period, from the rise of revolutionary ideas to the experiences of totalitarianism and decolonization in the twentieth century. Authors include Locke, Mary Shelley, Marx, Nietzsche, Primo Levi, and Frantz Fanon. This course is part of the Humanities Core, a collaborative set of global humanities seminars that brings all of its students and faculty into conversation. On Mondays you meet in your own course, and on Wednesdays all the HumCore seminars (in session that quarter) meet together: https://humanitiescore.stanford.edu/."
PHIL 20N:,Philosophy of Artificial Intelligence,"Is it really possible for an artificial system to achieve genuine intelligence: thoughts, consciousness, emotions? What would that mean? How could we know if it had been achieved? Is there a chance that we ourselves are artificial intelligences? Would artificial intelligences, under certain conditions, actually be persons? If so, how would that affect how they ought to be treated and what ought to be expected of them? Emerging technologies with impressive capacities already seem to function in ways we do not fully understand. What are the opportunities and dangers that this presents? How should the promises and hazards of these technologies be managed?Philosophers have studied questions much like these for millennia, in scholarly debates that have increased in fervor with advances in psychology, neuroscience, and computer science. The philosophy of mind provides tools to carefully address whether genuine artificial intelligence and artificial personhood are possible. Epistemology (the more »"
PHIL 24C:,Tutorial: Ethics for the Wild Robot Frontier,"Tutorial taught by grad student. Enrollment limited to 10. Robots and artificial intelligence present a new sort of Wild West. AI programs drive cars without a license; robots offer sexual services in exchange for payment; autonomous weapons systems roam around, looking to kill with impunity. With this new frontier comes significant ethical issues. There are several clusters of questions for us to consider, including most pressing: which technologies are permissible to develop and implement? Second, under the heading of what philosophers sometimes call moral 'agenthood': what would make robots themselves count as agents, and to what standards are they responsible? Finally, under the heading of moral 'patienthood': in what ways can robots be benefited or harmed, and how does this impact humanity's ethical obligations? Each week, our discussion will be framed around a pair of assignments: a short story, TV episode, or video; and a philosophical text. As we move through the course, the qu more »"
PHIL 24L:,Tutorial: Theories of Consciousness in Early Modern Philosophy,"Tutorial taught by grad student. Enrollment limited to 10. What is consciousness? Are all thoughts conscious? Is consciousness the same as reflection? What is the difference between conscious and unconscious mental states? In this class, we'll see how philosophers (Descartes, Locke, Leibniz, Kant) from the early modern period responded to these questions and revolutionized our conception of the mind. Readings will be drawn from both primary texts and secondary literature. Towards the end of the class, we'll connect the historical ideas with some of the most important issues in contemporary philosophy of mind and cognitive science. This class will be of interest to a wide range of students: philosophers, historians, psychologists, and cognitive scientists."
PHIL 32S:,The Philosophy of Inaction,"This course considers arguments against action for some or all people in some or all times and places. Is it always better to do something rather than nothing? Is it economically possible or desirable for our contemporary global society to do and produce less? Why should you get out of bed in the morning? Where do our normative standards and moral elevation of productivity come from? What are the best justifications for staying busy and active, and what are the gaps in these justifications? Does thinking count as action? What counts as ""overthinking""? Why have sages and religious traditions embraced living as simply as possible? To answer these questions we will construe philosophy broadly, sampling arguments from across the world and across history, beginning with how inaction is framed in Ancient Greek philosophy."
PHIL 36:,"Dangerous Ideas (ARTHIST 36, COMPLIT 36A, EALC 36, ENGLISH 71, ETHICSOC 36X, FRENCH 36, HISTORY 3D, MUSIC 36H, POLISCI 70, RELIGST 36X, SLAVIC 36, TAPS 36)","Ideas matter. Concepts such as equality, tradition, and Hell have inspired social movements, shaped political systems, and dramatically influenced the lives of individuals. Others, like race, gender, and technology play an important role in contemporary debates in the United States. All of these ideas are contested, and they have a real power to change lives, for better and for worse. In this one-unit class we will examine these ""dangerous"" ideas. Each week, a faculty member from a different department in the humanities and arts will explore a concept that has shaped human experience across time and space."
PHIL 40S:,Introduction to the Philosophy of Science,"This course provides an introduction to some of the major philosophical questions about science. The first part of the course focuses on the role of values in a variety of sciences, especially in the environmental, biomedical and social sciences that have close connections with public policy. Question examined will include: Should values be involved in accepting or rejecting scientific hypotheses? Are certain scientific categories value laden? Are there scientific topics that should be deprioritized or not pursued at all in a society? How should scientists communicate socially important but uncertain information to the policy makers and the public? The second part of the course focuses on the scientific method and how it contributes to the success and progress of science. We will examine three different accounts of the scientific method, accounts that lead to different conceptions of the nature and growth of scientific knowledge: The hypothetical-deductive view; Thomas Kuhn's account o more »"
PHIL 71H:,Introduction to Aesthetics,"Aesthetics encompasses a seemingly special and particularly rewarding way of perceiving the world. Appreciating the beauty of a sunset, feeling moved by a piece of music, becoming absorbed in the composition of an artwork: these are all aesthetic matters, and they are all matters that lie at the heart of this course. We will begin by exploring core debates on aesthetic experience, aesthetic properties, and aesthetic value. But we will also venture into considerations of aesthetics in our everyday lives, aesthetic taste and our personalities, aesthetics and grief, aesthetics and gender, and aesthetics and race. By the end of the quarter, you will have a strong foundation in understanding this rich aspect of life we call aesthetics."
PHIL 77:,Introduction to Philosophy of Religion,"Is the concept of God philosophically coherent? If it is, can we know whether God exists? And if God does exist, what are the ethical implications? In exploring these questions, we will also have the chance to discuss God's relation to time, the possibility of reconciling divine omniscience with human free will, the epistemology of testimony and religious disagreement, the relationship between faith and reason, Aquinas' five ways, voluntarism and divine command theory, and the problem of evil. No prior experience in philosophy of religion or theology more generally will be presupposed - and students of all faith backgrounds (or no faith background!) are welcome. Readings will primarily draw on contemporary analytic philosophy of religion, though we will also look at historical works of philosophical theology from both Western and non-Western sources. Interested students are invited to contact the instructor for more information."
PHIL 82T:,Philosophy of Cognitive Science,"Does all human cognition occur in the brain? In what sense do we direct our attention to the things that we pay attention to? Such questions are among those asked by researchers working in the interdisciplinary field of cognitive science. In this course we will discuss ways in which philosophy participates in this interdisciplinary project by considering aspects of research on, for example, attention, theory of mind, embodied cognition, and metal representation."
